#=====================================================
# File created:        Fri-15-Mar-2024-at-01-07-48AM
# Size of lattice:     50x50
# Number of MC steps:  175
# Reduced temperature: 0.500
# Run time (s):        0.987091
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2460.3571  0.2611 
   00001    0.6888   -3631.1514  0.2598 
   00002    0.6372   -4443.1556  0.2693 
   00003    0.5924   -5059.3786  0.2739 
   00004    0.5676   -5538.5994  0.2640 
   00005    0.5452   -5872.1723  0.2538 
   00006    0.5012   -6142.2449  0.2547 
   00007    0.4976   -6355.4478  0.2594 
   00008    0.5068   -6514.0395  0.2627 
   00009    0.4872   -6691.8803  0.2629 
   00010    0.4712   -6801.3056  0.2611 
   00011    0.4868   -6942.2206  0.2685 
   00012    0.4664   -7060.6025  0.2823 
   00013    0.4732   -7132.5941  0.2907 
   00014    0.4692   -7176.1923  0.2950 
   00015    0.4612   -7274.0556  0.2931 
   00016    0.4596   -7326.8084  0.2970 
   00017    0.4588   -7354.1564  0.3015 
   00018    0.4552   -7438.4517  0.3115 
   00019    0.4720   -7467.3109  0.3126 
   00020    0.4440   -7515.3295  0.3098 
   00021    0.4480   -7550.7998  0.3050 
   00022    0.4448   -7606.1592  0.3008 
   00023    0.4432   -7677.3976  0.3032 
   00024    0.4516   -7786.1166  0.3002 
   00025    0.4392   -7754.5940  0.2952 
   00026    0.4496   -7795.9738  0.2996 
   00027    0.4476   -7801.9454  0.3002 
   00028    0.4332   -7831.0944  0.3094 
   00029    0.4276   -7855.2433  0.3106 
   00030    0.4484   -7857.9855  0.3155 
   00031    0.4332   -7878.3719  0.3112 
   00032    0.4576   -7911.8772  0.3134 
   00033    0.4424   -7910.0929  0.3105 
   00034    0.4512   -7938.4467  0.3054 
   00035    0.4168   -7957.8624  0.3027 
   00036    0.4452   -7900.6357  0.3057 
   00037    0.4492   -7908.4129  0.3014 
   00038    0.4516   -7959.2106  0.3014 
   00039    0.4304   -7957.0250  0.3034 
   00040    0.4456   -7975.8117  0.3075 
   00041    0.4244   -8003.3133  0.3162 
   00042    0.4328   -7972.0589  0.3138 
   00043    0.4240   -7970.5568  0.3136 
   00044    0.4308   -8048.5072  0.3114 
   00045    0.4216   -7997.3946  0.3056 
   00046    0.4476   -8008.2732  0.3078 
   00047    0.4376   -7960.6088  0.3063 
   00048    0.4244   -7978.0180  0.3071 
   00049    0.4132   -7943.3642  0.3114 
   00050    0.4272   -7978.1689  0.3151 
   00051    0.4228   -7975.6758  0.3237 
   00052    0.4300   -7991.2119  0.3257 
   00053    0.4284   -8051.7448  0.3300 
   00054    0.4324   -8068.0312  0.3280 
   00055    0.4296   -8071.8767  0.3318 
   00056    0.4256   -8093.2495  0.3345 
   00057    0.4300   -8121.3859  0.3330 
   00058    0.4356   -8109.9119  0.3385 
   00059    0.4256   -8098.1481  0.3420 
   00060    0.4196   -8113.8944  0.3416 
   00061    0.4348   -8115.7610  0.3416 
   00062    0.4284   -8160.0043  0.3386 
   00063    0.4236   -8085.9270  0.3385 
   00064    0.4260   -8105.6002  0.3405 
   00065    0.4136   -8049.5701  0.3394 
   00066    0.4276   -8051.5979  0.3425 
   00067    0.4224   -8086.3892  0.3480 
   00068    0.4260   -8075.6296  0.3483 
   00069    0.4160   -8067.0702  0.3446 
   00070    0.4380   -8084.9610  0.3443 
   00071    0.4040   -8095.2862  0.3450 
   00072    0.4332   -8155.3914  0.3461 
   00073    0.4280   -8183.7815  0.3500 
   00074    0.4380   -8181.2337  0.3507 
   00075    0.4092   -8230.9539  0.3476 
   00076    0.4232   -8171.3645  0.3453 
   00077    0.4252   -8160.9868  0.3472 
   00078    0.4116   -8191.6413  0.3454 
   00079    0.4044   -8215.2832  0.3438 
   00080    0.4352   -8199.0163  0.3427 
   00081    0.3976   -8190.4671  0.3397 
   00082    0.4204   -8207.8024  0.3382 
   00083    0.3972   -8247.0121  0.3453 
   00084    0.4284   -8229.7645  0.3473 
   00085    0.4160   -8203.6567  0.3504 
   00086    0.4288   -8199.3846  0.3499 
   00087    0.4248   -8190.8916  0.3552 
   00088    0.4252   -8180.8299  0.3543 
   00089    0.4320   -8182.0525  0.3559 
   00090    0.4304   -8134.3915  0.3613 
   00091    0.4200   -8190.3359  0.3610 
   00092    0.4308   -8191.2254  0.3580 
   00093    0.4456   -8190.7754  0.3577 
   00094    0.4208   -8248.5099  0.3592 
   00095    0.4284   -8215.7930  0.3580 
   00096    0.4268   -8251.6459  0.3605 
   00097    0.4152   -8238.5068  0.3591 
   00098    0.4228   -8255.0330  0.3574 
