#=====================================================
# File created:        Fri-15-Mar-2024-at-01-12-10AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.302205
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2519.0207 0.2612 
 00001 0.7024   -3622.7972 0.2678 
 00002 0.6108   -4394.0206 0.2707 
 00003 0.5960   -4972.7681 0.2831 
 00004 0.5444   -5400.7308 0.2863 
 00005 0.5624   -5653.4612 0.2890 
 00006 0.5276   -5954.8698 0.2880 
 00007 0.5236   -6235.6322 0.2918 
 00008 0.4988   -6509.8467 0.3021 
 00009 0.4876   -6635.7987 0.3044 
 00010 0.4900   -6745.8282 0.3068 
 00011 0.4924   -6932.9126 0.3081 
 00012 0.4700   -6992.6151 0.3163 
 00013 0.4780   -7137.0416 0.3267 
 00014 0.4516   -7192.5439 0.3353 
 00015 0.4572   -7282.2634 0.3339 
 00016 0.4536   -7304.5773 0.3351 
 00017 0.4528   -7389.0479 0.3375 
 00018 0.4592   -7471.1833 0.3429 
 00019 0.4520   -7539.7526 0.3484 
 00020 0.4632   -7622.9203 0.3530 
 00021 0.4452   -7632.3201 0.3539 
 00022 0.4428   -7644.9087 0.3490 
 00023 0.4540   -7693.6074 0.3524 
 00024 0.4396   -7695.2809 0.3583 
 00025 0.4420   -7791.5876 0.3655 
 00026 0.4432   -7803.0113 0.3734 
 00027 0.4292   -7836.8689 0.3698 
 00028 0.4220   -7831.2701 0.3666 
 00029 0.4360   -7822.9222 0.3662 
 00030 0.4492   -7831.5806 0.3745 
 00031 0.4208   -7819.7925 0.3739 
 00032 0.4548   -7822.0071 0.3854 
 00033 0.4396   -7900.8927 0.3890 
 00034 0.4408   -7900.0550 0.3885 
 00035 0.4224   -7932.3670 0.3832 
 00036 0.4260   -7923.5843 0.3884 
 00037 0.4348   -7945.0551 0.3871 
 00038 0.4040   -7936.8767 0.3847 
 00039 0.4256   -7948.7242 0.3805 
 00040 0.4192   -7985.1867 0.3798 
 00041 0.4200   -8054.4081 0.3757 
 00042 0.4396   -8074.2668 0.3653 
 00043 0.4436   -8038.8401 0.3681 
 00044 0.4380   -8086.5815 0.3768 
 00045 0.4392   -8095.0564 0.3770 
 00046 0.4264   -8123.7790 0.3805 
 00047 0.4204   -8092.2605 0.3738 
 00048 0.4116   -8185.2253 0.3778 
 00049 0.4116   -8154.1002 0.3804 
 00050 0.4268   -8160.7160 0.3878 
