#=====================================================
# File created:        Fri-15-Mar-2024-at-01-13-18AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.293695
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
 00000 0.5000   -2438.2427 0.2576 
 00001 0.6856   -3666.4604 0.2578 
 00002 0.6308   -4522.2431 0.2614 
 00003 0.5800   -5059.9186 0.2696 
 00004 0.5724   -5452.6234 0.2826 
 00005 0.5288   -5806.2756 0.2909 
 00006 0.5160   -6074.9119 0.2888 
 00007 0.5200   -6284.9680 0.3046 
 00008 0.5120   -6558.1820 0.3060 
 00009 0.5064   -6742.7778 0.3148 
 00010 0.4944   -6838.7124 0.3224 
 00011 0.4780   -7009.4724 0.3292 
 00012 0.4876   -7113.9882 0.3288 
 00013 0.4648   -7253.7925 0.3305 
 00014 0.4488   -7339.6869 0.3262 
 00015 0.4624   -7391.7079 0.3248 
 00016 0.4356   -7476.3121 0.3302 
 00017 0.4540   -7525.7272 0.3322 
 00018 0.4672   -7575.2987 0.3300 
 00019 0.4632   -7646.7450 0.3367 
 00020 0.4556   -7710.7153 0.3428 
 00021 0.4356   -7674.8153 0.3510 
 00022 0.4400   -7716.2697 0.3558 
 00023 0.4268   -7740.0958 0.3596 
 00024 0.4436   -7739.1320 0.3657 
 00025 0.4416   -7775.9783 0.3644 
 00026 0.4532   -7791.4437 0.3685 
 00027 0.4236   -7816.6546 0.3701 
 00028 0.4424   -7803.9604 0.3692 
 00029 0.4376   -7862.3727 0.3713 
 00030 0.4456   -7896.4832 0.3747 
 00031 0.4280   -7926.1290 0.3708 
 00032 0.4512   -7927.5146 0.3716 
 00033 0.4332   -7948.6424 0.3743 
 00034 0.4296   -7947.8839 0.3763 
 00035 0.4420   -7967.8443 0.3713 
 00036 0.4340   -7968.4904 0.3741 
 00037 0.4196   -8029.7209 0.3727 
 00038 0.4260   -8018.0751 0.3692 
 00039 0.4292   -8049.1558 0.3716 
 00040 0.4224   -8050.4569 0.3720 
 00041 0.4344   -8048.6481 0.3736 
 00042 0.4232   -8073.1622 0.3790 
 00043 0.4192   -8106.9897 0.3785 
 00044 0.4252   -8090.3973 0.3756 
 00045 0.4100   -8106.9479 0.3779 
 00046 0.4440   -8092.7309 0.3757 
 00047 0.4224   -8138.6613 0.3801 
 00048 0.4184   -8150.6153 0.3806 
 00049 0.4284   -8193.9028 0.3859 
 00050 0.4252   -8189.1402 0.3903 
