#=====================================================
# File created:        Fri-15-Mar-2024-at-12-53-44AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.336900
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2533.8271  0.2698 
   00001    0.6880   -3733.4166  0.2728 
   00002    0.6388   -4514.2991  0.2908 
   00003    0.5948   -5069.6684  0.3014 
   00004    0.5608   -5559.5265  0.3003 
   00005    0.5340   -5955.9052  0.3047 
   00006    0.5056   -6227.8591  0.3028 
   00007    0.5076   -6472.9098  0.3099 
   00008    0.4896   -6656.5783  0.3126 
   00009    0.4904   -6840.4420  0.3142 
   00010    0.4748   -6983.8619  0.3057 
   00011    0.4840   -7052.3654  0.3061 
   00012    0.4728   -7139.7976  0.3072 
   00013    0.4896   -7225.6009  0.3045 
   00014    0.4584   -7267.9740  0.3094 
   00015    0.4612   -7363.5839  0.3085 
   00016    0.4468   -7471.9881  0.3088 
   00017    0.4508   -7491.8994  0.3084 
   00018    0.4600   -7546.6706  0.3120 
   00019    0.4424   -7613.4181  0.3159 
   00020    0.4404   -7658.7094  0.3251 
   00021    0.4392   -7678.5752  0.3248 
   00022    0.4660   -7673.5470  0.3162 
   00023    0.4416   -7702.4630  0.3259 
   00024    0.4324   -7768.6654  0.3216 
   00025    0.4344   -7761.8034  0.3272 
   00026    0.4496   -7749.6883  0.3241 
   00027    0.4316   -7813.9053  0.3272 
   00028    0.4484   -7788.1974  0.3276 
   00029    0.4276   -7820.5773  0.3282 
   00030    0.4376   -7858.1091  0.3334 
   00031    0.4360   -7868.6106  0.3385 
   00032    0.4220   -7880.3973  0.3376 
   00033    0.4392   -7907.9637  0.3464 
   00034    0.4196   -7921.5485  0.3456 
   00035    0.4328   -7927.0745  0.3419 
   00036    0.4440   -7912.6547  0.3370 
   00037    0.4256   -7939.1884  0.3406 
   00038    0.4252   -7998.8226  0.3430 
   00039    0.4288   -8012.4194  0.3453 
   00040    0.4200   -8055.5366  0.3459 
   00041    0.4264   -8076.1035  0.3514 
   00042    0.4300   -8076.9702  0.3449 
   00043    0.4316   -8093.0122  0.3493 
   00044    0.4300   -8108.6410  0.3450 
   00045    0.4260   -8095.5355  0.3453 
   00046    0.4320   -8149.8475  0.3543 
   00047    0.4084   -8151.6720  0.3544 
   00048    0.4156   -8126.4007  0.3530 
   00049    0.4340   -8170.2946  0.3583 
   00050    0.4348   -8172.5596  0.3582 
