Numba_LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.392, Time: 3.304862 s
         8275165 function calls (7831564 primitive calls) in 10.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
     2393    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:100(acquire)
 1283/448    0.007    0.000    1.351    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
  413/411    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
16562/15568    0.019    0.000    1.131    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2393    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:125(release)
     1283    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     1283    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1283    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2393    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1678    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:198(cb)
     1110    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  1173/49    0.001    0.000    1.327    0.027 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     8700    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:294(_module_repr)
      872    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1449    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
     3321    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:404(parent)
      901    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      697    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      779    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  779/776    0.002    0.000    0.059    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:581(_module_repr_from_spec)
   779/49    0.004    0.000    1.326    0.027 <frozen importlib._bootstrap>:664(_load_unlocked)
     1678    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:71(__init__)
      869    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      847    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     2642    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     2642    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:897(__exit__)
      337    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
      869    0.006    0.000    0.378    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
   877/48    0.004    0.000    1.340    0.028 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      695    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      695    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      695    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
      695    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    59/58    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    59/51    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
     8204    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8204    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
     1390    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2780    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       78    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1687    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      847    0.010    0.000    0.367    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3382    0.003    0.000    0.313    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      847    0.001    0.000    0.368    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1471(find_distributions)
       78    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1078    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      754    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1531    0.015    0.000    0.352    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       78    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      998    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       78    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      832    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1390    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      754    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  696/694    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      695    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      695    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      695    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     1531    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      754    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     2085    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      695    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   695/49    0.002    0.000    1.323    0.027 <frozen importlib._bootstrap_external>:877(exec_module)
      695    0.009    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       78    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.008    0.008 ExifTags.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
        1    0.000    0.000    0.000    0.000 ExifTags.py:295(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:341(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:101(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:23(GimpPaletteFile)
        1    0.000    0.000    0.015    0.015 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:138(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:149(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:158(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:177(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:185(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:190(Quantize)
        1    0.000    0.000    0.000    0.000 Image.py:2853(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2862(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3418(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3434(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3449(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3460(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3472(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3483(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3592(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3628(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:427(_E)
        1    0.000    0.000    0.000    0.000 Image.py:470(Image)
        1    0.000    0.000    0.000    0.000 Image.py:66(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:70(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:105(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:350(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:380(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:607(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:618(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:690(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:740(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:93(_Tile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:21(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:24(Iterator)
        1    0.000    0.000   10.018   10.018 Numba_LebwohlLasher.py:1(<module>)
   250000    1.847    0.000    1.847    0.000 Numba_LebwohlLasher.py:135(one_energy)
       51    0.939    0.018    0.939    0.018 Numba_LebwohlLasher.py:170(all_energy)
       51    0.007    0.000    0.007    0.000 Numba_LebwohlLasher.py:188(get_order)
       50    0.519    0.010    2.376    0.048 Numba_LebwohlLasher.py:214(MC_step)
        1    0.001    0.001    8.957    8.957 Numba_LebwohlLasher.py:257(main)
        1    0.000    0.000    0.000    0.000 Numba_LebwohlLasher.py:36(initdat)
        2    0.000    0.000    0.000    0.000 Numba_LebwohlLasher.py:51(plotdat)
        1    0.000    0.000    0.005    0.005 Numba_LebwohlLasher.py:98(savedat)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:20(PaletteFile)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1069(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1080(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:120(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:151(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:240(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:262(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:346(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:700(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:24(TagInfo)
      147    0.000    0.000    0.000    0.000 TiffTags.py:27(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:421(_populate)
        2    0.000    0.000    0.117    0.058 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:9(DisplayModes)
        1    0.000    0.000    0.000    0.000 __config__.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:98(<listcomp>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       78    0.003    0.000    2.056    0.026 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
  337/335    0.000    0.000    0.030    0.000 __init__.py:10(__getattr__)
       87    0.000    0.000    0.000    0.000 __init__.py:100(section_pairs)
       88    0.000    0.000    0.021    0.000 __init__.py:1018(<genexpr>)
      172    0.000    0.000    0.001    0.000 __init__.py:102(<genexpr>)
        8    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1037(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:106(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:107(<lambda>)
  413/411    0.001    0.000    0.038    0.000 __init__.py:108(import_module)
      172    0.000    0.000    0.000    0.000 __init__.py:108(read)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:119(Cycler)
      128    0.000    0.000    0.000    0.000 __init__.py:119(valid)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:124(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        8    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1285(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        1    0.000    0.000    0.129    0.129 __init__.py:13(_ensure_critical_deps)
        5    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       37    0.001    0.000    0.001    0.000 __init__.py:1315(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:132(__getattr__)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       48    0.000    0.000    0.006    0.000 __init__.py:1347(_add_data_doc)
       36    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       94    0.001    0.000    0.011    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:14(SubplotBase)
