LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.332, Time: 2.624514 s
         1348872 function calls (1337058 primitive calls) in 3.359 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      763    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
    335/3    0.002    0.000    0.703    0.234 <frozen importlib._bootstrap>:1022(_find_and_load)
        5    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
   471/72    0.001    0.000    0.595    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      763    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      335    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      335    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      763    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      337    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      428    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    473/4    0.000    0.000    0.698    0.174 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3036    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      565    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      704    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      316    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  316/314    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    316/4    0.001    0.000    0.697    0.174 <frozen importlib._bootstrap>:664(_load_unlocked)
      337    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      953    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      953    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      329    0.002    0.000    0.132    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    332/3    0.001    0.000    0.703    0.234 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      269    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
