vectorized_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.282, Time: 0.529685 s
         7100336 function calls (6730662 primitive calls) in 6.639 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
     2233    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:100(acquire)
 1203/368    0.006    0.000    1.434    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
  333/331    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
14330/13336    0.017    0.000    1.216    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2233    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:125(release)
     1203    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
     1203    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1203    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2233    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1518    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:198(cb)
     1030    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  1173/49    0.001    0.000    1.415    0.029 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     8700    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:294(_module_repr)
      872    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1449    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
     3129    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:404(parent)
      866    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      697    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      779    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  779/776    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:581(_module_repr_from_spec)
   779/49    0.004    0.000    1.414    0.029 <frozen importlib._bootstrap>:664(_load_unlocked)
     1518    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:71(__init__)
      869    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      847    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
